	sample	project	condition	type	missing_metadata	cell_line	differentiated
40	SRS1547685	SRP078148	control	hepatocyte	False	False	False
41	SRS1072207	SRP063834	control	hepatocyte	False	False	False
42	SRS1725425	SRP090753	control	hepatocyte	False	True	False
43	SRS5488016	SRP224719	control	hepatocyte	False	False	False
44	SRS5308184	SRP219310	control	hepatocyte	False	True	False
45	SRS3421683	SRP150620	control	hepatocyte	False	False	False
46	SRS1756356	SRP091947	control	hepatocyte	False	True	False
47	SRS2539747	SRP118837	control	hepatocyte	False	False	False
48	SRS1756349	SRP091947	control	hepatocyte	False	True	False
49	SRS2329914	SRP110815	control	hepatocyte	False	False	False
50	SRS1756364	SRP091947	control	hepatocyte	False	True	False
51	SRS1756350	SRP091947	control	hepatocyte	False	True	False
52	SRS5308186	SRP219310	control	hepatocyte	False	True	False
53	SRS1756353	SRP091947	control	hepatocyte	False	True	False
54	SRS1547686	SRP078148	control	hepatocyte	False	False	False
55	SRS1756352	SRP091947	control	hepatocyte	False	True	False
56	SRS2329919	SRP110815	control	hepatocyte	False	False	False
57	SRS1756358	SRP091947	control	hepatocyte	False	True	False
58	SRS3421688	SRP150620	control	hepatocyte	False	False	False
59	SRS1756363	SRP091947	control	hepatocyte	False	True	False
60	SRS5308187	SRP219310	control	hepatocyte	False	True	False
61	SRS4755404	SRP198343	control	hepatocyte	False	False	False
62	SRS1756359	SRP091947	control	hepatocyte	False	True	False
63	SRS3421682	SRP150620	control	hepatocyte	False	False	False
64	SRS3421687	SRP150620	control	hepatocyte	False	False	False
65	SRS530019	SRP035387	control	hepatocyte	False	False	False
66	SRS1756355	SRP091947	control	hepatocyte	False	True	False
67	SRS4755403	SRP198343	control	hepatocyte	False	False	False
68	SRS1756354	SRP091947	control	hepatocyte	False	True	False
69	SRS1756357	SRP091947	control	hepatocyte	False	True	False
70	SRS3421684	SRP150620	control	hepatocyte	False	False	False
71	SRS3421680	SRP150620	control	hepatocyte	False	False	False
72	SRS1725423	SRP090753	control	hepatocyte	False	True	False
73	SRS389152	SRP018359	control	hepatocyte	False	True	False
74	SRS1601833	SRP080962	control	hepatocyte	False	False	False
75	SRS2329913	SRP110815	control	hepatocyte	False	False	False
76	SRS1547684	SRP078148	control	hepatocyte	False	False	False
77	SRS530018	SRP035387	control	hepatocyte	False	False	False
78	ERS3358307	ERP114711	case	epithelial cell	False	True	False
79	ERS3358310	ERP114711	case	epithelial cell	False	True	False
80	ERS3358313	ERP114711	case	epithelial cell	False	True	False
81	ERS3358308	ERP114711	case	epithelial cell	False	True	False
82	ERS3358312	ERP114711	case	epithelial cell	False	True	False
83	ERS3358306	ERP114711	case	epithelial cell	False	True	False
84	ERS3358309	ERP114711	case	epithelial cell	False	True	False
85	ERS3358314	ERP114711	case	epithelial cell	False	True	False
86	ERS3358311	ERP114711	case	epithelial cell	False	True	False
87	SRS5326347	SRP219875	control	epithelial cell	False	False	False
88	SRS4620648	SRP192519	control	epithelial cell	False	True	False
89	SRS1248477	SRP068467	control	epithelial cell	False	True	False
90	SRS1248483	SRP068467	control	epithelial cell	False	True	False
91	ERS1217338	ERP016233	control	epithelial cell	False	True	False
92	SRS1248502	SRP068467	control	epithelial cell	False	True	False
93	SRS5552461	SRP226540	control	epithelial cell	False	False	False
94	SRS1847895	SRP094884	control	epithelial cell	False	False	False
95	SRS1468267	SRP075763	control	epithelial cell	False	False	False
96	SRS1847886	SRP094884	control	epithelial cell	False	False	False
97	SRS1847891	SRP094884	control	epithelial cell	False	False	False
98	ERS1217346	ERP016233	control	epithelial cell	False	True	False
99	SRS1248473	SRP068467	control	epithelial cell	False	True	False
100	SRS1847894	SRP094884	control	epithelial cell	False	False	False
101	SRS1248490	SRP068467	control	epithelial cell	False	True	False
102	SRS3352235	SRP149286	control	epithelial cell	False	True	False
103	SRS5638411	SRP229586	control	epithelial cell	False	True	False
104	SRS4620640	SRP192519	control	epithelial cell	False	True	False
105	ERS070415	ERP000992	control	epithelial cell	False	True	False
106	SRS1468286	SRP075763	control	epithelial cell	False	False	False
107	SRS1248486	SRP068467	control	epithelial cell	False	True	False
108	SRS4751397	SRP198184	control	epithelial cell	False	True	False
109	ERS1217339	ERP016233	control	epithelial cell	False	True	False
110	SRS1248500	SRP068467	control	epithelial cell	False	True	False
111	ERS1217341	ERP016233	control	epithelial cell	False	True	False
112	SRS5186786	SRP216971	control	epithelial cell	False	False	False
113	ERS1217340	ERP016233	control	epithelial cell	False	True	False
114	SRS1847884	SRP094884	control	epithelial cell	False	False	False
115	SRS1909372	SRP096285	control	epithelial cell	False	False	False
116	SRS4620642	SRP192519	control	epithelial cell	False	True	False
117	SRS5326353	SRP219875	control	epithelial cell	False	False	False
118	SRS1468285	SRP075763	control	epithelial cell	False	False	False
119	SRS1248504	SRP068467	control	epithelial cell	False	True	False
120	SRS979468	SRP060370	control	epithelial cell	False	False	False
121	ERS1217347	ERP016233	control	epithelial cell	False	True	False
122	ERS070418	ERP000992	control	epithelial cell	False	True	False
123	SRS4620654	SRP192521	control	epithelial cell	False	True	False
124	SRS4751393	SRP198183	control	epithelial cell	False	True	False
125	SRS3352242	SRP149286	control	epithelial cell	False	True	False
126	SRS1248495	SRP068467	control	epithelial cell	False	True	False
127	SRS1248479	SRP068467	control	epithelial cell	False	True	False
128	SRS1847897	SRP094884	control	epithelial cell	False	False	False
129	SRS1847889	SRP094884	control	epithelial cell	False	False	False
130	SRS1847892	SRP094884	control	epithelial cell	False	False	False
131	SRS1248498	SRP068467	control	epithelial cell	False	True	False
132	SRS1248505	SRP068467	control	epithelial cell	False	True	False
133	SRS1910810	SRP096285	control	epithelial cell	False	False	False
134	SRS4751398	SRP198184	control	epithelial cell	False	True	False
135	SRS1909396	SRP096285	control	epithelial cell	False	False	False
136	SRS5638410	SRP229586	control	epithelial cell	False	True	False
137	SRS3352243	SRP149286	control	epithelial cell	False	True	False
138	SRS1468268	SRP075763	control	epithelial cell	False	False	False
139	SRS5186787	SRP216971	control	epithelial cell	False	False	False
140	SRS979463	SRP060370	control	epithelial cell	False	False	False
141	SRS979465	SRP060370	control	epithelial cell	False	False	False
142	SRS1248472	SRP068467	control	epithelial cell	False	True	False
143	SRS5326352	SRP219875	control	epithelial cell	False	False	False
144	SRS4751394	SRP198183	control	epithelial cell	False	True	False
145	SRS3352241	SRP149286	control	epithelial cell	False	True	False
146	SRS1248475	SRP068467	control	epithelial cell	False	True	False
147	SRS1248485	SRP068467	control	epithelial cell	False	True	False
148	SRS1248476	SRP068467	control	epithelial cell	False	True	False
149	ERS1217349	ERP016233	control	epithelial cell	False	True	False
150	SRS4620647	SRP192519	control	epithelial cell	False	True	False
151	SRS213877	SRP007403	control	epithelial cell	False	True	False
152	SRS4751391	SRP198183	control	epithelial cell	False	True	False
153	ERS1217348	ERP016233	control	epithelial cell	False	True	False
154	SRS3352238	SRP149286	control	epithelial cell	False	True	False
155	SRS1248499	SRP068467	control	epithelial cell	False	True	False
156	SRS1248507	SRP068467	control	epithelial cell	False	True	False
157	SRS720272	SRP048842	control	epithelial cell	False	True	False
158	SRS3352240	SRP149286	control	epithelial cell	False	True	False
159	SRS1910814	SRP096285	control	epithelial cell	False	False	False
160	SRS4751402	SRP198184	control	epithelial cell	False	True	False
161	SRS1468287	SRP075763	control	epithelial cell	False	False	False
162	SRS1248496	SRP068467	control	epithelial cell	False	True	False
163	SRS1910812	SRP096285	control	epithelial cell	False	False	False
164	SRS1248493	SRP068467	control	epithelial cell	False	True	False
165	SRS5552459	SRP226540	control	epithelial cell	False	False	False
166	SRS3352239	SRP149286	control	epithelial cell	False	True	False
167	SRS1248484	SRP068467	control	epithelial cell	False	True	False
168	SRS1813824	SRP093372	control	epithelial cell	False	False	False
169	SRS4751392	SRP198183	control	epithelial cell	False	True	False
170	SRS4620639	SRP192519	control	epithelial cell	False	True	False
171	ERS070414	ERP000992	control	epithelial cell	False	True	False
172	SRS4751400	SRP198184	control	epithelial cell	False	True	False
173	SRS1248494	SRP068467	control	epithelial cell	False	True	False
174	ERS070405	ERP000992	control	epithelial cell	False	True	False
175	SRS1468280	SRP075763	control	epithelial cell	False	False	False
176	ERS1217345	ERP016233	control	epithelial cell	False	True	False
177	SRS3352234	SRP149286	control	epithelial cell	False	True	False
178	ERS070412	ERP000992	control	epithelial cell	False	True	False
179	SRS1847893	SRP094884	control	epithelial cell	False	False	False
180	SRS1248474	SRP068467	control	epithelial cell	False	True	False
181	SRS5326354	SRP219875	control	epithelial cell	False	False	False
182	SRS5186788	SRP216971	control	epithelial cell	False	False	False
183	SRS4620641	SRP192519	control	epithelial cell	False	True	False
184	SRS4620656	SRP192521	control	epithelial cell	False	True	False
185	SRS1248492	SRP068467	control	epithelial cell	False	True	False
186	SRS4751401	SRP198184	control	epithelial cell	False	True	False
187	SRS4620646	SRP192519	control	epithelial cell	False	True	False
188	SRS1847890	SRP094884	control	epithelial cell	False	False	False
189	SRS4620653	SRP192521	control	epithelial cell	False	True	False
190	SRS3352244	SRP149286	control	epithelial cell	False	True	False
191	SRS4620652	SRP192521	control	epithelial cell	False	True	False
192	ERS1217344	ERP016233	control	epithelial cell	False	True	False
193	SRS4620649	SRP192519	control	epithelial cell	False	True	False
194	SRS5552458	SRP226540	control	epithelial cell	False	False	False
195	SRS5326346	SRP219875	control	epithelial cell	False	False	False
196	SRS1823542	SRP093372	control	epithelial cell	False	False	False
197	SRS1910811	SRP096285	control	epithelial cell	False	False	False
198	SRS4620650	SRP192519	control	epithelial cell	False	True	False
199	SRS4620645	SRP192519	control	epithelial cell	False	True	False
200	SRS1248488	SRP068467	control	epithelial cell	False	True	False
201	SRS4751395	SRP198183	control	epithelial cell	False	True	False
202	SRS1847885	SRP094884	control	epithelial cell	False	False	False
203	SRS1248478	SRP068467	control	epithelial cell	False	True	False
204	SRS1847888	SRP094884	control	epithelial cell	False	False	False
205	SRS1847896	SRP094884	control	epithelial cell	False	False	False
206	ERS1217343	ERP016233	control	epithelial cell	False	True	False
207	SRS4620644	SRP192519	control	epithelial cell	False	True	False
208	SRS1248481	SRP068467	control	epithelial cell	False	True	False
209	SRS1847887	SRP094884	control	epithelial cell	False	False	False
210	SRS1248482	SRP068467	control	epithelial cell	False	True	False
211	ERS1217342	ERP016233	control	epithelial cell	False	True	False
212	SRS1823543	SRP093372	control	epithelial cell	False	False	False
213	SRS1248497	SRP068467	control	epithelial cell	False	True	False
214	SRS3352233	SRP149286	control	epithelial cell	False	True	False
215	SRS5326349	SRP219875	control	epithelial cell	False	False	False
216	SRS979471	SRP060370	control	epithelial cell	False	False	False
217	SRS4620643	SRP192519	control	epithelial cell	False	True	False
218	SRS1248491	SRP068467	control	epithelial cell	False	True	False
219	SRS1248480	SRP068467	control	epithelial cell	False	True	False
220	SRS1248489	SRP068467	control	epithelial cell	False	True	False
221	SRS5552460	SRP226540	control	epithelial cell	False	False	False
222	ERS070407	ERP000992	control	epithelial cell	False	True	False
223	SRS979464	SRP060370	control	epithelial cell	False	False	False
224	SRS1799766	SRP093372	control	epithelial cell	False	False	False
225	SRS4620655	SRP192521	control	epithelial cell	False	True	False
226	SRS4620651	SRP192521	control	epithelial cell	False	True	False
227	SRS979469	SRP060370	control	epithelial cell	False	False	False
228	SRS3352237	SRP149286	control	epithelial cell	False	True	False
229	SRS4751396	SRP198183	control	epithelial cell	False	True	False
230	SRS1819842	SRP093372	control	epithelial cell	False	False	False
231	ERS070419	ERP000992	control	epithelial cell	False	True	False
232	ERS070416	ERP000992	control	epithelial cell	False	True	False
233	SRS1248501	SRP068467	control	epithelial cell	False	True	False
234	SRS720273	SRP048842	control	epithelial cell	False	True	False
235	SRS1248487	SRP068467	control	epithelial cell	False	True	False
236	SRS1820726	SRP093372	control	epithelial cell	False	False	False
237	SRS1248503	SRP068467	control	epithelial cell	False	True	False
238	SRS1910020	SRP096285	control	epithelial cell	False	False	False
239	SRS3352236	SRP149286	control	epithelial cell	False	True	False
240	SRS1248506	SRP068467	control	epithelial cell	False	True	False
241	SRS1909314	SRP096285	control	epithelial cell	False	False	False
242	SRS4751399	SRP198184	control	epithelial cell	False	True	False
243	SRS3525464	SRP152744	case	liver	False	True	False
244	SRS5138940	SRP215977	case	liver	False	True	False
245	SRS5138970	SRP215977	case	liver	False	True	False
246	SRS2426849	SRP115304	case	liver	False	True	False
247	SRS2426843	SRP115304	case	liver	False	True	False
248	SRS2426847	SRP115304	case	liver	False	True	False
249	SRS5138955	SRP215977	case	liver	False	True	False
250	SRS5138941	SRP215977	case	liver	False	True	False
251	SRS2426842	SRP115304	case	liver	False	True	False
252	SRS5138952	SRP215977	case	liver	False	True	False
253	SRS2426841	SRP115304	case	liver	False	True	False
254	SRS5343720	SRP220308	case	liver	False	False	False
255	SRS2426840	SRP115304	case	liver	False	True	False
256	SRS5138933	SRP215977	case	liver	False	True	False
257	SRS5138934	SRP215977	case	liver	False	True	False
258	SRS5343721	SRP220308	case	liver	False	False	False
259	SRS2426845	SRP115304	case	liver	False	True	False
260	SRS5343724	SRP220308	case	liver	False	False	False
261	SRS2426844	SRP115304	case	liver	False	True	False
262	SRS5138956	SRP215977	case	liver	False	True	False
263	SRS2231234	SRP108101	case	liver	False	False	False
264	SRS2426839	SRP115304	case	liver	False	True	False
265	SRS5138938	SRP215977	case	liver	False	True	False
266	SRS2426838	SRP115304	case	liver	False	True	False
267	SRS5138932	SRP215977	case	liver	False	True	False
268	SRS2426846	SRP115304	case	liver	False	True	False
269	SRS5343723	SRP220308	case	liver	False	False	False
270	SRS5138935	SRP215977	case	liver	False	True	False
271	SRS2426850	SRP115304	case	liver	False	True	False
272	SRS2426836	SRP115304	case	liver	False	True	False
273	SRS5138964	SRP215977	case	liver	False	True	False
274	SRS5138958	SRP215977	case	liver	False	True	False
275	SRS5343719	SRP220308	case	liver	False	False	False
276	SRS2426848	SRP115304	case	liver	False	True	False
277	SRS5343722	SRP220308	case	liver	False	False	False
278	SRS2426837	SRP115304	case	liver	False	True	False
279	SRS5138960	SRP215977	case	liver	False	True	False
280	SRS5138971	SRP215977	case	liver	False	True	False
281	SRS3525453	SRP152744	case	liver	False	True	False
282	SRS3525454	SRP152744	case	liver	False	True	False
283	SRS2231233	SRP108101	case	liver	False	False	False
284	SRS1679634	SRP087633	case	liver	False	True	False
285	SRS3968874	SRP166108	control	liver	False	True	False
286	SRS4466741	SRP187978	control	liver	False	False	False
287	SRS3968596	SRP166108	control	liver	False	True	False
288	SRS3949829	SRP166108	control	liver	False	True	False
289	SRS4467280	SRP187978	control	liver	False	False	False
290	SRS5911458	SRP238929	control	liver	False	False	False
291	SRS5914030	SRP238929	control	liver	False	False	False
292	SRS3969396	SRP166108	control	liver	False	True	False
293	SRS1087213	SRP064138	control	liver	False	False	False
294	SRS3974673	SRP166108	control	liver	False	True	False
295	SRS3967038	SRP166108	control	liver	False	True	False
296	SRS4467031	SRP187978	control	liver	False	False	False
297	SRS3970155	SRP166108	control	liver	False	True	False
298	SRS4467056	SRP187978	control	liver	False	False	False
299	SRS3977124	SRP166108	control	liver	False	True	False
300	SRS3968785	SRP166108	control	liver	False	True	False
301	SRS1537613	SRP077751	control	liver	False	False	False
302	SRS5914491	SRP238929	control	liver	False	False	False
303	SRS3977233	SRP166108	control	liver	False	True	False
304	SRS4467678	SRP187978	control	liver	False	False	False
305	SRS4466937	SRP187978	control	liver	False	False	False
306	SRS3967202	SRP166108	control	liver	False	True	False
307	SRS4467392	SRP187978	control	liver	False	False	False
308	SRS3982132	SRP166108	control	liver	False	True	False
309	SRS3982478	SRP166108	control	liver	False	True	False
310	SRS5462255	SRP223896	control	liver	False	False	False
311	SRS4466968	SRP187978	control	liver	False	False	False
312	SRS3981928	SRP166108	control	liver	False	True	False
313	SRS4467982	SRP187978	control	liver	False	False	False
314	SRS5900030	SRP238929	control	liver	False	False	False
315	SRS3969255	SRP166108	control	liver	False	True	False
316	SRS3978222	SRP166108	control	liver	False	True	False
317	SRS5915253	SRP238929	control	liver	False	False	False
318	SRS3966986	SRP166108	control	liver	False	True	False
319	SRS5462183	SRP223896	control	liver	False	False	False
320	SRS1537587	SRP077751	control	liver	False	False	False
321	SRS3975472	SRP166108	control	liver	False	True	False
322	SRS5899321	SRP238929	control	liver	False	False	False
323	SRS5906735	SRP238929	control	liver	False	False	False
324	SRS4468170	SRP187978	control	liver	False	False	False
325	SRS3982629	SRP166108	control	liver	False	True	False
326	SRS2669326	SRP124486	control	liver	False	False	False
327	SRS3963930	SRP166108	control	liver	False	True	False
328	SRS3981667	SRP166108	control	liver	False	True	False
329	SRS5913492	SRP238929	control	liver	False	False	False
330	SRS5483629	SRP224575	control	liver	False	False	False
331	SRS5898176	SRP238929	control	liver	False	False	False
332	SRS5896826	SRP238929	control	liver	False	False	False
333	SRS5908221	SRP238929	control	liver	False	False	False
334	SRS5939918	SRP239423	control	liver	False	False	False
335	SRS3975984	SRP166108	control	liver	False	True	False
336	SRS3982253	SRP166108	control	liver	False	True	False
337	SRS5896922	SRP238929	control	liver	False	False	False
338	SRS3959138	SRP166108	control	liver	False	True	False
339	SRS5916413	SRP238929	control	liver	False	False	False
340	SRS5905409	SRP238929	control	liver	False	False	False
341	SRS5910553	SRP238929	control	liver	False	False	False
342	SRS5897192	SRP238929	control	liver	False	False	False
343	SRS3982198	SRP166108	control	liver	False	True	False
344	SRS5939822	SRP239423	control	liver	False	False	False
345	SRS3970988	SRP166108	control	liver	False	True	False
346	SRS3970085	SRP166108	control	liver	False	True	False
347	SRS3977187	SRP166108	control	liver	False	True	False
348	SRS3982202	SRP166108	control	liver	False	True	False
349	SRS3968835	SRP166108	control	liver	False	True	False
350	SRS4467275	SRP187978	control	liver	False	False	False
351	SRS5462248	SRP223896	control	liver	False	False	False
352	SRS5911152	SRP238929	control	liver	False	False	False
353	SRS3968800	SRP166108	control	liver	False	True	False
354	SRS3958099	SRP166108	control	liver	False	True	False
355	SRS3963939	SRP166108	control	liver	False	True	False
356	SRS4466980	SRP187978	control	liver	False	False	False
357	SRS5906282	SRP238929	control	liver	False	False	False
358	SRS3969398	SRP166108	control	liver	False	True	False
359	SRS5904257	SRP238929	control	liver	False	False	False
360	SRS3981645	SRP166108	control	liver	False	True	False
361	SRS3975210	SRP166108	control	liver	False	True	False
362	SRS634153	SRP012682	control	liver	False	False	False
363	SRS3981761	SRP166108	control	liver	False	True	False
364	SRS3982723	SRP166108	control	liver	False	True	False
365	SRS5900101	SRP238929	control	liver	False	False	False
366	SRS5912981	SRP238929	control	liver	False	False	False
367	SRS3975942	SRP166108	control	liver	False	True	False
368	SRS3970203	SRP166108	control	liver	False	True	False
369	SRS5903265	SRP238929	control	liver	False	False	False
370	SRS5915175	SRP238929	control	liver	False	False	False
371	SRS3965718	SRP166108	control	liver	False	True	False
372	SRS3968788	SRP166108	control	liver	False	True	False
373	SRS5897000	SRP238929	control	liver	False	False	False
374	SRS3976613	SRP166108	control	liver	False	True	False
375	SRS3968705	SRP166108	control	liver	False	True	False
376	SRS3970835	SRP166108	control	liver	False	True	False
377	SRS3968583	SRP166108	control	liver	False	True	False
378	SRS4466845	SRP187978	control	liver	False	False	False
379	SRS5902194	SRP238929	control	liver	False	False	False
380	SRS5900246	SRP238929	control	liver	False	False	False
381	SRS4467035	SRP187978	control	liver	False	False	False
382	SRS5703761	SRP224575	control	liver	False	False	False
383	SRS3954385	SRP166108	control	liver	False	True	False
384	SRS5903175	SRP238929	control	liver	False	False	False
385	SRS3958016	SRP166108	control	liver	False	True	False
386	SRS4467697	SRP187978	control	liver	False	False	False
387	SRS5898046	SRP238929	control	liver	False	False	False
388	SRS4466727	SRP187978	control	liver	False	False	False
389	SRS5900655	SRP238929	control	liver	False	False	False
390	SRS3957945	SRP166108	control	liver	False	True	False
391	SRS5898769	SRP238929	control	liver	False	False	False
392	SRS5909379	SRP238929	control	liver	False	False	False
393	SRS3981848	SRP166108	control	liver	False	True	False
394	SRS5914990	SRP238929	control	liver	False	False	False
395	SRS3958097	SRP166108	control	liver	False	True	False
396	SRS5910154	SRP238929	control	liver	False	False	False
397	SRS4466594	SRP187978	control	liver	False	False	False
398	SRS3982431	SRP166108	control	liver	False	True	False
399	SRS5912669	SRP238929	control	liver	False	False	False
400	SRS5902804	SRP238929	control	liver	False	False	False
401	SRS3959735	SRP166108	control	liver	False	True	False
402	SRS5912740	SRP238929	control	liver	False	False	False
403	SRS1561759	SRP078450	control	liver	False	False	False
404	SRS3982263	SRP166108	control	liver	False	True	False
405	SRS4742620	SRP197353	control	liver	False	False	False
406	SRS2068601	SRP102427	control	liver	False	False	False
407	SRS4466582	SRP187978	control	liver	False	False	False
408	SRS5908499	SRP238929	control	liver	False	False	False
409	SRS4466674	SRP187978	control	liver	False	False	False
410	SRS5908236	SRP238929	control	liver	False	False	False
411	SRS5915690	SRP238929	control	liver	False	False	False
412	SRS5910661	SRP238929	control	liver	False	False	False
413	SRS1079747	SRP064138	control	liver	False	False	False
414	SRS3969355	SRP166108	control	liver	False	True	False
415	SRS3970122	SRP166108	control	liver	False	True	False
416	SRS4188438	SRP174502	control	liver	False	True	False
417	SRS3978274	SRP166108	control	liver	False	True	False
418	SRS3982605	SRP166108	control	liver	False	True	False
419	SRS5898385	SRP238929	control	liver	False	False	False
420	SRS5910721	SRP238929	control	liver	False	False	False
421	SRS4467185	SRP187978	control	liver	False	False	False
422	SRS4467376	SRP187978	control	liver	False	False	False
423	SRS3981874	SRP166108	control	liver	False	True	False
424	SRS5906253	SRP238929	control	liver	False	False	False
425	SRS3969082	SRP166108	control	liver	False	True	False
426	SRS4466573	SRP187978	control	liver	False	False	False
427	SRS3967071	SRP166108	control	liver	False	True	False
428	SRS4466689	SRP187978	control	liver	False	False	False
429	SRS4467278	SRP187978	control	liver	False	False	False
430	SRS3975936	SRP166108	control	liver	False	True	False
431	SRS1608203	SRP081182	control	liver	False	False	False
432	SRS4742651	SRP197353	control	liver	False	False	False
433	SRS3968888	SRP166108	control	liver	False	True	False
434	SRS4467508	SRP187978	control	liver	False	False	False
435	SRS3982796	SRP166108	control	liver	False	True	False
436	SRS3959714	SRP166108	control	liver	False	True	False
437	SRS3969270	SRP166108	control	liver	False	True	False
438	SRS5906131	SRP238929	control	liver	False	False	False
439	SRS5913584	SRP238929	control	liver	False	False	False
440	SRS3969348	SRP166108	control	liver	False	True	False
441	SRS3982644	SRP166108	control	liver	False	True	False
442	SRS3969247	SRP166108	control	liver	False	True	False
443	SRS3982287	SRP166108	control	liver	False	True	False
444	SRS3959269	SRP166108	control	liver	False	True	False
445	SRS3974571	SRP166108	control	liver	False	True	False
446	SRS3969212	SRP166108	control	liver	False	True	False
447	SRS5905523	SRP238929	control	liver	False	False	False
448	SRS2432351	SRP115481	control	liver	False	False	False
449	SRS5899599	SRP238929	control	liver	False	False	False
450	SRS5896222	SRP238929	control	liver	False	False	False
451	SRS4467916	SRP187978	control	liver	False	False	False
452	SRS4467059	SRP187978	control	liver	False	False	False
453	SRS5956773	SRP239878	control	liver	False	True	False
454	SRS3950017	SRP166108	control	liver	False	True	False
455	SRS3959772	SRP166108	control	liver	False	True	False
456	SRS5913538	SRP238929	control	liver	False	False	False
457	SRS5900514	SRP238929	control	liver	False	False	False
458	SRS3959074	SRP166108	control	liver	False	True	False
459	SRS5908792	SRP238929	control	liver	False	False	False
460	SRS5913756	SRP238929	control	liver	False	False	False
461	SRS3976723	SRP166108	control	liver	False	True	False
462	SRS4466566	SRP187978	control	liver	False	False	False
463	SRS3982276	SRP166108	control	liver	False	True	False
464	SRS5912629	SRP238929	control	liver	False	False	False
465	SRS4467694	SRP187978	control	liver	False	False	False
466	SRS3969370	SRP166108	control	liver	False	True	False
467	SRS4467903	SRP187978	control	liver	False	False	False
468	SRS3981773	SRP166108	control	liver	False	True	False
469	SRS5903494	SRP238929	control	liver	False	False	False
470	SRS4466912	SRP187978	control	liver	False	False	False
471	SRS5914776	SRP238929	control	liver	False	False	False
472	SRS3967187	SRP166108	control	liver	False	True	False
473	SRS625630	SRP012682	control	liver	False	False	False
474	SRS4467052	SRP187978	control	liver	False	False	False
475	SRS4467343	SRP187978	control	liver	False	False	False
476	SRS3958217	SRP166108	control	liver	False	True	False
477	SRS5895660	SRP238929	control	liver	False	False	False
478	SRS3974617	SRP166108	control	liver	False	True	False
479	SRS3974688	SRP166108	control	liver	False	True	False
480	SRS3982663	SRP166108	control	liver	False	True	False
481	SRS5900411	SRP238929	control	liver	False	False	False
482	SRS4466993	SRP187978	control	liver	False	False	False
483	SRS5905566	SRP238929	control	liver	False	False	False
484	SRS5898687	SRP238929	control	liver	False	False	False
485	SRS3959082	SRP166108	control	liver	False	True	False
486	SRS3975692	SRP166108	control	liver	False	True	False
487	SRS4742692	SRP197353	control	liver	False	False	False
488	SRS3968610	SRP166108	control	liver	False	True	False
489	SRS3967155	SRP166108	control	liver	False	True	False
490	SRS3967214	SRP166108	control	liver	False	True	False
491	SRS3982587	SRP166108	control	liver	False	True	False
492	SRS5914814	SRP238929	control	liver	False	False	False
493	SRS3982891	SRP166108	control	liver	False	True	False
494	SRS5491905	SRP224822	control	liver	False	False	False
495	SRS3978112	SRP166108	control	liver	False	True	False
496	SRS3967136	SRP166108	control	liver	False	True	False
497	SRS2068583	SRP102427	control	liver	False	False	False
498	SRS4467619	SRP187978	control	liver	False	False	False
